id_number	mz	rtime	cSelectivity	goodness_fitting	snr	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F333	312.2211	115.58	1	0.95	1114	1392921	1729023	1255398	1820682	1779959	2567068
F334	266.2561	147.7	1	0.99	3121	7303746	7554041	7667969	2487238	2703320	3399068
F335	312.2253	145.95	0.8	0.65	78	648112	0	0	0	0	724775
F336	200.165	146.83	1	0.91	104	16290468	17187032	17317323	33799329	33274825	34221216
F337	200.165	162.88	1	0.93	84	25613215	25936250	25890641	45700798	42205497	41893096
F338	266.8973	817.68	1	0.82	47	1754997	1094807	1373538	19789	1543	0
F339	266.8973	844.08	1	0.98	69	4573	297974	76557	1228681	1160585	1190861
F340	200.2013	153.86	1	0.89	20	4806871	4702022	5481322	6091211	6004425	5675768
F341	312.2378	186.61	1	0.61	255	9412929	9014275	10410230	9071798	9595317	9975052
F342	267.0575	839.96	1	0.91	277	0	0	0	3803608	3886038	4068792
F343	267.0631	798.38	1	0.96	173	1040013	3671	802051	0	0	0
F344	267.0631	807.69	1	0.96	100	5434	977407	75421	0	0	0
F345	267.0631	822.18	1	0.96	337	2835	28717	0	1078097	1069800	1015713
F346	131.083	266.95	1	0.99	1314	5556	12812	20290	19227386	22399910	25317340
F347	200.238	286.47	1	0.48	4452	477195492	478446919	486490484	409052405	404516250	411622248
F348	312.2534	148.57	1	0.87	843	68299896	67118881	66885489	103476729	109323193	104502752
F349	312.2534	161.85	1	0.98	720	103739851	107599951	109804471	44937090	43476157	45531048
F350	312.2613	144.07	1	0.93	735	1390156	1502030	1272845	1308964	1190266	1175815
F351	267.134	802.36	1	0.98	147	0	0	0	1201330	1260185	1293371
F352	131.0855	146.83	1	0.84	83	9441659	9788370	11435359	13183272	11734909	12822391
F353	131.1121	614	1	0.98	157	0	0	0	0	450457	445975
F354	312.2897	145.95	0.8	0.74	272	210281	363553	74489	472926	357494	417772
F355	267.1381	150.31	1	0.99	647	8362657	8981764	9124626	8611333	9470838	8734894
F356	200.9972	627.86	1	0.68	19	90692594	107247930	123648516	93077092	108980256	125196724
F357	131.1624	401.29	1	0.93	30	64917940	64533421	58635587	65719607	64368872	60072337
F358	312.3262	145.95	1	0.99	373	5319964	5186151	5445075	3768159	4278599	3963249
F359	267.1442	185.63	1	0.95	576	35556782	34347807	37053969	38453721	37886452	40602577
F360	267.1442	238.79	1	0.94	908	22227432	24067053	24385651	25312995	25264852	26038638
F361	267.1442	522.04	1	0.97	256	14117192	14444770	14909684	13787230	13374702	13896323
F362	201.124	497.7	1	0.87	17	2528438	2425738	2593400	2430893	2262128	2291776
F363	267.1554	540.39	1	0.87	245	477811	536760	578090	508096	603085	584401
F364	312.8076	796.3	1	0.58	251	420777	5164992	10150459	0	0	0
F365	312.8076	818.78	1	0.89	267	0	43029	0	2425156	2617809	5506817
F366	132.0768	751.24	1	0.98	256	3061874	5857743	6671411	105932	61743	78265
F367	132.0768	769.94	1	1	842	86483	613686	243255	6369820	9886309	8581994
F368	313.0466	704.46	1	0.94	1307	0	0	0	18966601	19173134	19510800
F369	201.128	145.95	1	0.98	150	1044329	1144885	1221032	1104920	771029	1339779
F370	132.0807	148.57	1	0.97	268	2883328	1622792	2083884	6989763	7542615	7381554
F371	132.0889	145.95	1	0.78	91	0	0	0	0	220458	227750
F372	267.1592	147.7	1	0.53	23	829112	854498	1317823	1614907	1544492	1214106
F373	267.1592	827.95	0.91	0.44	8	391789	367857	391256	2020729	2932090	2222665
F374	313.1437	147.7	1	0.89	72	6909258	7164073	8259417	7762784	8028549	7569856
F375	201.1491	146.83	1	0.81	28	229014	0	0	474167	327904	271208
F376	201.1491	162.88	1	0.86	42	289894	0	0	1131779	971261	888431
F377	132.1146	1017.05	1	0.92	119	0	0	0	8277973	8716926	9155707
F378	267.1633	168.67	1	0.88	3134	46018740	45894935	46259985	48979187	48128168	48948278
F379	267.1633	507.92	1	0.98	93	2689097	2740967	2879226	3499725	3504283	3743105
F380	133.0278	798.38	1	0.99	753	4369264	12579	3217262	0	0	0
F381	133.0278	808.82	1	0.98	504	0	4140360	55376	0	0	0
F382	133.0278	822.18	1	1	1749	0	7596	0	4964902	4747164	3969618
F383	267.1719	145.95	1	0.96	167	3052015	2837258	2553914	5025249	5297629	4855009
F384	133.0591	705.55	1	0.98	66	0	125351	0	4137837	4206911	4700632
F385	133.0591	819.88	1	0.87	18	0	18189	0	385467	345000	349099
F386	133.0591	841	1	0.9	74	0	345962	0	3516052	3713429	3892174
F387	133.0601	799.39	1	0.96	171	3804125	0	3709538	1105664	1079710	1016662
F388	133.0648	161.85	0.37	0.64	10	406819	409763	561141	368620	313234	264492
F389	313.1799	145.95	1	0.96	192	23818355	24346158	25616385	25361029	24971603	24282873
F390	201.1604	186.61	1	0.87	34	2586317	2361124	2550690	2263503	2236643	2251139
F391	201.1604	239.78	1	0.95	74	3529092	531697	3600921	2947619	2977151	3071327
F392	313.2051	186.61	1	0.95	738	7110862	6889745	7657897	6192098	6693192	6951304
F393	313.2051	238.79	1	0.92	627	4009951	4611019	4359338	4112507	4408858	4456986
F394	313.2051	523.11	1	0.97	1378	11606098	12186598	13136788	11245683	11109381	12007450
F395	201.1644	144.07	0.88	0.83	45	1162698	1245981	976831	1118962	1009857	952786
F396	201.1644	235.83	0.93	0.72	26	584158	601445	726549	656775	565243	697183
F397	201.1644	404.42	0.96	0.31	10	1318679	1364232	1415477	1400875	1312755	1433818
F398	201.1684	146.83	1	0.93	121	702641	1166654	1083050	2617217	2837739	3203450
F399	201.1684	161.85	1	0.96	117	1402575	1445982	1389081	3275265	3488873	2888137
F400	201.2413	285.43	1	0.4	1381	66298837	66604986	67250483	56396935	56094221	56256077
F401	202.0693	700	1	0.98	598	13260523	15855825	20245662	189518	232718	273529
F402	202.0693	849.14	1	0.94	33	2864113	2930804	3081144	1266934	1356815	1286153
F403	267.1748	145.95	1	0.96	604	13736195	14509382	14347407	13552833	12820665	13540923
F404	267.1748	174.58	0.98	0.4	12	534411	435405	607843	551412	507457	471072
F405	267.1748	798.38	1	0.98	92	58106	20861	39370	1955417	2872167	3296890
F406	133.0859	204.67	1	0.83	22	12672350	11369055	13043633	14086471	14095088	14037443
F407	133.0859	253.71	1	0.93	100	26028021	27916786	28542695	31088574	31569874	31923531
F408	202.0711	661.56	1	0.99	925	0	0	0	3861123	4744679	4863239
F409	313.2167	235.83	1	0.93	50	12017912	3021301	13125367	13323868	12604079	13346208
F410	313.2167	251.7	0.88	0.49	11	26613956	29039153	28300469	27683089	26675795	28369744
F411	313.2167	386.53	0.89	0.49	13	26613956	29039153	28300469	27683089	26675795	28369744
F412	202.108	460.38	1	0.98	10	4215200	4950217	5526820	415466	362140	355161
F413	267.181	185.63	1	0.78	158	8103124	7777893	8149798	8444947	8648066	8624142
F414	267.181	237.83	1	0.97	99	1726232	279040	1850073	2096385	2016544	2006821
F415	267.181	541.58	1	0.77	42	4730098	4750227	4721838	4735728	4648042	4746247
F416	133.0973	347.34	1	0.97	32	3248031	3370040	3343274	14377	18436	15352
F417	133.0973	948.89	1	0.98	265	39434795	38472758	38455562	729507	677965	723521
F418	202.1182	1007.37	1	0.87	12	396649	0	0	4088470	4293254	4465881
F419	313.2375	144.07	1	0.84	80	2816417	2723726	2916969	2231598	2632973	1950984
F420	313.2375	236.86	1	0.94	33	599211	128176	608727	694898	683597	681321
F421	267.1958	145.95	1	0.85	70	3179934	2866587	2762862	3135817	3173530	3327665
F422	267.1958	237.83	1	0.88	15	548378	179218	625637	709095	684514	611973
F423	133.1	144.07	0.59	0.78	70	132761	39198	136144	110804	42583	42268
F424	133.1	153.86	0.59	0.57	72	70438	41957	330024	135712	101339	0
F425	267.1995	164.92	1	0.99	1505	1987450	1850923	2012866	2065560	2192047	2107124
F426	133.1011	152.96	1	0.94	41	21297602	22230170	22869726	18725246	19371506	19188003
F427	202.1557	433.89	1	0.96	30	338251	331405	335765	293402	316114	344269
F428	202.1557	762.64	1	0.99	183	12025669	11569145	11664669	9597055	9094305	8751926
F429	202.1557	804.38	1	0.94	675	30335962	36507081	45240822	4005913	3859068	4108902
F430	267.2321	146.83	1	0.96	91	2525044	2869000	2078159	2402961	3108389	3114552
F431	134.0634	800.38	1	0.99	1581	0	0	0	16635140	16771276	17128788
F432	268.1329	426.07	1	1	5307	1053209239	1096586921	1159892659	385302245	398552377	410804234
F433	134.0894	207.69	1	0.87	39	614718	490564	592912	676093	622916	705574
F434	134.0894	253.71	1	0.96	174	1472689	286842	1605349	1735601	1794976	1895621
F435	268.14	772.94	0.5	0.99	57	0	0	0	491845	525031	499100
F436	134.0918	681.3	1	1	988	0	0	0	3504076	3937620	4071365
F437	268.1414	805.42	0.6	0.97	349	60783	0	0	1200484	510876	678466
F438	134.0964	148.57	1	0.89	38	442774	299036	475663	1908290	1368385	1717611
F439	268.1476	185.63	1	0.95	871	3691131	3676352	3966792	4269048	4222137	4268068
F440	268.1476	238.79	1	0.97	1135	2422791	123157	2384624	2444578	2677573	2674287
F441	268.1476	256.74	1	0.48	164	0	2338955	0	0	0	0
F442	268.1476	522.04	1	0.96	374	1523944	1612323	1617479	1458022	1435193	1533883
F443	134.1044	153.86	1	0.54	32	647797	769012	902973	612502	601759	584343
F444	134.1109	1012.74	1	0.93	121	0	0	0	3927528	3984062	4000213
F445	268.1554	238.79	0.33	0.7	40	0	0	0	373629	410339	339153
F446	268.1578	885.38	1	0.83	6	120108402	115754105	114331911	117376444	112951175	110663522
F447	268.1638	168.67	1	0.85	1932	3619481	3607389	3191242	3301324	3545926	3934268
F448	313.2488	171.5	1	0.83	136	1692251	1830305	1510167	2041484	2164806	2191451
F449	268.1663	168.67	1	0.91	261	928697	762477	1078600	1335157	1084840	957953
F450	313.2568	148.57	1	0.87	2728	11752270	12930780	12008257	20686268	20173604	18873028
F451	313.2568	161.85	1	0.98	2324	18517656	18338119	19911799	7507436	6815747	7739953
F452	268.1756	185.63	1	0.46	88	25931595	26249398	26646437	26823825	26520036	27434043
F453	268.1756	532.13	0.98	0.92	9	823509	1035051	993285	976604	931653	1020812
F454	135.0666	660.5	1	0.99	51	0	0	0	1709245	1748477	1768888
F455	135.0666	696.73	1	0.78	10	0	0	0	835818	897514	913083
