id_number	mz	rtime	cSelectivity	goodness_fitting	snr	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F196	311.0746	838.89	1	0.91	262	0	0	0	2142403	2257712	2414586
F197	263.1433	145.95	1	0.83	300	521958	473174	452877	713424	470733	577989
F198	311.0868	683.46	1	0.96	187	0	0	0	584962	570141	574560
F199	311.0868	713.28	1	0.92	240	0	0	0	1167811	1317173	1378575
F200	127.1231	482.68	0.81	0.71	11	2847822	2657154	2819302	2562250	2483949	2548969
F201	311.1276	116.71	1	0.96	113	562012	787506	818668	712517	781353	875139
F202	311.1276	147.7	1	0.88	545	1961401	2454756	2855167	2768009	3135080	3489095
F203	263.1494	185.63	0.99	0.68	30	442648	416946	495677	485903	568864	355548
F204	263.1494	418.51	1	0.8	202	4162856	4317338	4150831	4336522	4350831	4201794
F205	198.1608	485.06	1	0.93	86	23287637	23210005	23367557	24031407	23333203	23435508
F206	311.164	145.95	1	0.97	92	28894957	30102460	30573437	26597297	28181840	28511638
F207	128.062	145.95	1	0.9	335	4027112	4093732	4705586	4131648	4030753	4114552
F208	128.062	237.83	1	0.5	52	1279526	1296037	1450864	1351469	1369848	1497479
F209	198.1858	145.95	1	0.92	82	26005162	25998054	26424851	31891913	30212641	30051790
F210	263.1643	145.95	1	0.79	187	2146822	1697303	1874031	2604570	2399158	2061907
F211	263.1643	237.83	1	0.66	28	242058	88267	274753	290010	265502	289951
F212	128.072	825.59	1	0.65	124	0	0	0	1885766	1867763	1867759
F213	263.1859	156.73	1	0.93	424	387197	325733	545385	395300	347838	546939
F214	198.1907	1037.89	1	0.9	201	0	0	0	8940909	8569604	8453350
F215	263.2008	146.83	1	0.99	384	5351432	6353723	6718989	6472528	5416622	6571871
F216	198.1966	165.91	1	0.99	861	0	0	0	2126916	2261030	2571639
F217	198.1966	446.47	1	0.97	59	0	0	0	386666	408027	410434
F218	263.237	153.86	1	0.99	1572	140402535	149548280	148960951	71492583	67716467	68717908
F219	199.0019	626.69	1	0.67	17	236531841	276840521	318133624	241441193	281136696	321054745
F220	199.0381	203.69	1	0.93	80	228838	284059	232265	237261	302941	313427
F221	264.0904	144.07	1	0.94	48	837312	1183076	1431011	1585494	1625906	2201702
F222	264.0966	770.91	1	0.98	437	0	0	0	1722207	1845649	1702791
F223	264.1307	802.36	1	0.99	690	0	0	0	1436838	1692515	1792866
F224	264.1445	185.63	1	0.65	60	12549193	12783401	12914370	14946337	14552602	15042464
F225	199.097	164.92	0.9	0.68	14	1894772	2057029	2108590	2412182	1848458	2059139
F226	264.1596	167.76	0.86	0.52	61	0	0	0	988148	967747	813222
F227	199.1124	145.95	1	0.95	391	1438992	821277	1303201	737545	847817	1334687
F228	311.171	186.61	1	0.83	26	4681362	4622660	4727473	5250325	5198770	5107480
F229	264.1808	158.76	1	0.95	490	19465916	19568980	19273286	22210016	23570843	23263715
F230	199.1334	146.83	1	0.6	20	1062886	1508891	1059578	2495001	1869487	1653408
F231	199.1334	160.81	1	0.96	85	9498954	10002355	9635374	10380151	10770961	11047565
F232	311.1807	529.77	0.71	0.97	96	1563172	1593303	1755534	1939974	2027189	2050210
F233	199.1446	168.67	1	0.92	98	6976123	6512902	5719524	9015599	7517770	6748178
F234	199.1446	237.83	1	0.37	13	4215124	4289946	4097939	3682033	3471423	3507608
F235	128.115	146.83	1	0.76	258	0	0	0	525401	895660	725696
F236	264.2404	154.79	1	0.95	4330	23610071	24057367	22853088	10448825	10129385	11238319
F237	311.1855	152.07	1	0.89	137	1010665	1389681	920227	1443956	1701977	1432572
F238	311.1855	236.86	1	0.97	240	1545134	149600	1764102	1911237	1877565	2093267
F239	311.1855	255.73	1	0.67	40	68627	1482584	115538	215255	175351	265240
F240	265.1162	693.39	1	0.93	19	51004821	54317179	55458056	56629545	57453312	54097355
F241	199.1487	145.04	1	0.87	77	1131464	1173871	1168665	1037263	1160361	1053552
F242	199.1487	234.85	0.96	0.83	22	680606	682749	801237	840398	749705	912658
F243	199.1487	407.59	0.97	0.48	14	1220468	1254565	1321383	1300527	1216637	1366291
F244	128.1433	152.96	1	0.98	51	5928709	6466729	6641515	2653941	2166072	2356864
F245	128.1433	255.73	1	0.7	18	5572659	5958282	6665716	13214789	13749010	14809303
F246	311.1895	169.59	1	0.85	1042	2877459	2987480	3583348	3130751	3063289	3333222
F247	311.1895	238.79	1	0.72	135	425716	512834	543110	504705	559883	434434
F248	265.1222	145.95	1	0.98	244	1031336	1604153	1878912	1123929	1266840	997336
F249	128.9535	825.59	1	0.95	76	226816776	214620166	282272127	5136867	2091128	899688
F250	128.9535	844.08	1	1	127	11678151	62353021	24143489	231160511	258470325	278250685
F251	129.0699	145.95	1	0.96	233	2435769	2359611	1977863	2848297	2730674	3114646
F252	129.0699	157.74	1	0.69	60	534196	303709	470225	294854	560530	272855
F253	311.2007	146.83	1	0.92	92	7263366	6792857	6649128	5909626	6126560	5720045
F254	311.2007	166.85	1	0.7	15	804546	687362	720131	612792	735709	629537
F255	311.2007	236.86	1	0.61	12	1697223	1414817	1847142	1932375	1842015	1937592
F256	311.2007	407.59	1	0.75	58	8763075	8916345	9180418	8899118	8517571	9166517
F257	129.0933	430.49	1	1	129	0	0	0	0	526371	566513
F258	311.2217	145.95	1	0.94	782	7819037	8577194	8012172	7710815	8177683	6261627
F259	311.2217	237.83	1	0.87	61	516867	550401	573848	669416	577360	601929
F260	129.1014	825.59	0.27	0.53	77	0	98233	670255	0	1257	1249
F261	311.2259	156.73	1	0.91	314	616677	810063	685329	771211	572879	652782
F262	311.2259	166.85	1	0.92	608	1999715	2163154	1994562	2127324	2271796	2269912
F263	311.2333	168.67	1	0.92	440	3256861	4452664	3721671	4854092	5769436	5591327
F264	311.2333	238.79	1	0.97	545	1878107	1888876	2071426	4581462	4582722	4752133
F265	265.134	802.36	1	1	13128	0	0	0	35156094	37808814	40393052
F266	311.2411	157.74	1	0.92	1926	18515373	18447339	19251526	8485796	7428859	8258513
F267	129.1023	540.39	1	0.83	17	11737560	11417572	11678021	11349431	11336567	11246150
F268	129.1023	611.69	1	0.48	12	21658598	20949977	20016658	19571107	18534151	17828295
F269	265.1441	429.39	0.53	0.97	50	595834	0	0	0	0	700388
F270	129.9568	826.81	1	0.95	112	2411776	2266494	2966112	46878	16147	9145
F271	129.9568	845.08	1	0.99	179	22869	544609	139471	2376435	2587302	2768681
F272	311.2583	145.04	1	0.99	3052	10915562	9954488	11985928	9524077	9737411	10262339
F273	311.2583	172.51	0.94	0.89	48	310774	205772	223801	25881	11099	31567
F274	311.2583	411.94	1	0.93	77	494233	594780	707940	18704	16226	23415
F275	265.159	145.95	1	0.97	851	5889663	5420853	6146612	6720257	5544190	5129762
F276	130.0676	641.74	1	0.84	75	0	0	0	1516061	1493899	1489872
F277	130.0797	266.95	1	0.95	84	0	0	0	0	0	1089067
F278	199.1527	146.83	1	0.88	23	263897	275582	168643	1551857	932775	662889
F279	311.2695	163.9	1	0.55	160	2512256	2008727	2133345	0	807858	979358
F280	311.2695	186.61	1	0.74	51	692511	686358	876322	0	413711	336683
F281	311.2695	269.98	1	0.73	58	1311332	1567910	1716672	0	554100	684654
F282	311.2695	420.68	1	0.92	41	437676	374329	399232	0	341999	339546
F283	265.1651	161.85	1	0.56	36	90225	273208	182321	230193	195212	224471
F284	265.1651	185.63	1	0.74	73	1232588	1293135	1195402	1406136	1298756	1408573
F285	265.1651	207.69	1	0.76	20	328599	300679	356706	383988	383831	396683
F286	265.1651	262.83	1	0.83	21	317296	26403	328982	311629	253018	303310
F287	265.1651	413.02	1	0.8	112	1951050	2162864	1692001	2106791	2088568	1971009
F288	199.1641	485.06	1	0.94	172	2177575	2161773	2196423	2267041	2170139	2294131
F289	311.2947	145.95	1	0.97	540	4536118	4557220	5047385	4046429	4345956	4145858
F290	265.18	146.83	1	0.88	39	1995528	1793328	2250301	2220366	1999134	2162667
F291	311.6562	237.83	1	0.83	81	0	0	724157	0	629072	790286
F292	130.1088	603.44	1	0.89	125	3974007	5931908	6823376	176806	107052	87055
F293	130.1088	614	1	0.99	352	515162	1352892	362040	8061788	10800977	10913374
F294	199.1811	430.49	1	0.79	9	5764301	5793722	5636039	5711547	5747905	5647739
F295	312.0502	704.46	1	0.93	371	0	0	0	4501729	4506543	4403238
F296	265.1839	158.76	1	0.96	789	2111700	1944154	1571041	1943132	1823104	1693715
F297	130.1226	163.9	0.44	0.91	9	308543	289849	474107	0	293894	444811
F298	199.1891	145.95	1	0.39	188	1327731	1012555	1372376	1628678	1483112	1345849
F299	130.1591	400.23	1	0.93	26	733424904	729597748	661533048	743123001	726249627	678823650
F300	312.1595	145.04	1	0.62	73	171867	160238	38484	195211	60685	27343
F301	312.1595	157.74	1	0.63	284	748811	839899	931794	751353	1020263	979680
F302	312.1595	168.67	1	0.92	274	466778	357798	751207	662931	743289	593515
F303	312.1595	236.86	1	0.84	52	208729	5423	95943	132691	197084	163207
F304	130.9577	826.81	1	0.91	105	1448301	1332460	1804471	8061	1453	0
F305	130.9577	845.08	1	0.99	172	7880	439850	84453	1383705	1580750	1775332
F306	312.196	158.76	1	0.92	304	1083642	1390105	788846	1486129	1217027	979636
F307	265.2011	161.85	1	0.96	528	421890	604498	549466	739750	554849	731481
F308	265.2166	145.04	1	0.99	103	3182986	3527681	3655349	3574514	3750831	3163650
F309	312.2018	186.61	1	0.95	398	52165936	52409965	59568814	49266038	50822591	55508732
F310	312.2018	238.79	1	0.92	396	32634380	37598603	37390930	34803020	36568949	38737589
F311	312.2018	523.11	1	0.98	732	82511263	86209977	92644794	79317846	78285510	86162555
F312	265.2527	146.83	1	0.96	1142	40290536	40847828	41520148	18738678	17713701	19811826
F313	265.2527	177.63	0.99	0.3	8	1720511	1355579	1839945	773845	735183	870779
F314	199.9997	626.69	1	0.4	12	32528822	29457628	27300332	32327897	29266443	27365664
F315	266.1196	683.46	1	0.91	30	6310198	6837331	6868439	7097632	7236514	6829809
F316	266.1196	847.1	0.99	0.64	7	923053	979372	1037368	1041501	1047094	1032691
F317	266.1348	857.93	1	0.95	462	0	0	0	10353089	9961531	9818786
F318	266.1369	802.36	1	1	61407	0	0	0	365269188	395784949	421662024
F319	200.0051	629.03	1	0.66	19	0	17188835	19651496	0	17305266	19822198
F320	266.1391	238.79	1	0.71	27	0	0	0	302987	357360	364148
F321	200.0743	151.18	1	0.82	17	324466	928873	627807	1600063	1114307	1143027
F322	266.1504	732.16	1	0.72	283	2664560	2704516	2623892	3247611	3094733	3144426
F323	200.0841	380.2	1	0.98	174	0	0	0	13108248	12986200	13144080
F324	266.16	168.67	1	0.89	1703	414748118	412823254	421100976	441211669	430189952	440887558
F325	266.16	507.92	1	0.99	52	19638552	20152526	21199671	25181974	25826884	27560720
F326	200.1286	237.83	0.93	0.41	8	4986633	5213268	5139377	3588221	3372780	3427727
F327	266.1728	797.36	1	0.91	146	0	0	0	425120	417834	426938
F328	266.1754	162.88	0.8	0.61	56	0	0	372505	437911	386149	466104
F329	200.1368	160.81	1	0.85	238	0	562806	515126	654848	757547	605921
F330	312.2171	146.83	1	0.94	489	8250820	7620617	7601180	7435889	7690408	6804726
F331	266.1964	127.33	1	0.95	12	233787	257399	276158	255341	283097	314551
F332	266.1964	164.92	1	0.98	1058	20677221	20448844	21776163	21765298	21525095	21677353
