id_number	mz	rtime	neg-12C14N-3-0ev	neg-12C14N-1-0ev	neg-12C14N-2-0ev
F5583	213.0876	805.46	183882	107994	164898
F5586	213.0937	592.68	482590	447117	486475
F5587	213.0993	582.72	885841	711820	828196
F5588	213.0993	600.91	535228	386521	436050
F5593	213.1244	599.73	882095	862333	847523
F5592	213.1244	589.76	742664	702372	790309
F5596	213.1494	169.53	23794995	23214838	23297186
F5598	213.1494	252.13	17598851	16058503	16544114
F5597	213.1494	230.22	1504247	1581514	1541883
F10352	213.1606	176.95	0	166083	141511
F5602	213.1858	152.03	239529777	250235752	240647896
F5607	213.9606	835.09	363665	209275	212851
F10353	213.966	810.56	0	325358	0
F5615	214.0124	427.47	825422	943977	795950
F5616	214.0124	819.66	172160	192166	224919
F5621	214.0157	529.1	86286	77899	102384
F5629	214.0217	541.51	14817187	14649569	14693774
F5641	214.0332	814.54	687350	584632	644989
F5640	214.0332	677.93	168034	105515	170476
F5646	214.0388	780.68	3997836	3821270	4154617
F5663	214.0485	817.39	49855812	49918504	50408450
F5661	214.0485	673.29	558983	632243	532972
F5662	214.0485	681.99	187769	176629	184795
F5666	214.0568	594.45	7744412	7913078	7888038
F5668	214.0696	589.17	354128	366624	414540
F5667	214.0696	559.16	290107	290110	311853
F5677	214.0831	774.39	107391	115980	90393
F5719	214.1195	566.81	105232	93219	116392
F5768	214.1528	169.53	2427546	2231718	2360695
F5769	214.1528	252.13	1725021	1597195	1723769
F5770	214.1811	180.96	798707	766511	733074
F5773	214.1892	152.03	29549747	30191754	30119457
F5780	214.8328	430.92	698080	692596	678962
F5779	214.8328	186.7	20626	48562	68859
F5790	214.9054	826.61	80387	222770	122067
F5792	214.9287	781.24	457967	323459	290499
F10354	214.9497	798.62	0	88872	95895
F5816	214.9554	835.09	1867837	1554212	1757554
F5815	214.9554	827.75	388077	598369	519545
F5821	214.9684	1186.23	3104275	3352891	3185944
F5823	214.9765	803.75	1520789	1635052	1518350
F5825	214.9874	798.04	166196	163203	135356
F5834	215.0171	563.87	430687	366099	332786
F5835	215.0251	543.27	611691	639613	629633
F5841	215.0285	543.86	318086	312864	326706
F5845	215.0328	716.62	32649853	32926270	34930162
F5844	215.0328	672.71	8754844	8964156	9375915
F5843	215.0328	412.49	1438789	1264911	1341600
F10672	215.042	1189.2	0	0	2175662
F5847	215.0435	1190.98	1853058	1826671	0
F5846	215.0435	780.68	711220	919451	738129
F5858	215.0512	817.39	2390644	2242403	2211429
F5863	215.0559	165.57	2884178	3321938	3134362
F5865	215.0602	595.62	259938	252722	279754
F5871	215.0649	975.12	1732228	1533400	1596311
F5887	215.0922	178.67	15899886	15263549	15551342
F5888	215.0922	230.8	15899886	15263549	15551342
F5890	215.1147	803.18	13656010	13774446	13265288
F5896	215.1286	150.34	29405599	29033483	30064020
F5897	215.1286	674.45	3298581	3128127	3458418
F5898	215.1399	431.49	5803469	5927304	5611557
F5900	215.1479	252.69	2251709	2317420	2108341
F5899	215.1479	168.4	1886119	1655144	1690005
F5901	215.1479	425.75	724665	720105	743111
F5914	215.1649	254.38	8449676	7930742	8281672
F5913	215.1649	230.8	5578312	5705779	5583207
F10674	215.1899	152.03	0	0	342393
F5915	215.1924	152.59	906282	1357835	1102438
F5925	215.9595	809.44	9295523	9749201	9062163
F5941	215.9968	681.41	1299801	1240880	1323940
F5967	216.0369	717.79	1860029	1962120	1885900
F5968	216.0369	798.62	360474	292074	247929
F5980	216.0526	816.25	344996	446768	401903
F6037	216.0955	179.82	792974	714232	725913
F6036	216.0955	173.52	436792	478719	425442
F6040	216.0986	679.09	41972837	41634972	41723613
F6041	216.1182	802.62	958041	592118	935646
F6049	216.1319	150.34	1379438	1258154	1042650
F6050	216.1319	168.4	330140	324731	289893
F6052	216.1319	674.45	186917	98231	182504
F6055	216.1352	862.29	1769133	1751373	1863217
F6056	216.1433	429.19	525536	470008	652132
F6062	216.1683	157.67	1233719	1360710	1484523
F6066	216.1683	254.38	713726	848794	781145
F6064	216.1683	177.52	594374	632832	647731
F6074	216.8535	844.31	4077	21583	0
F9665	216.9016	662.79	412607	0	557710
F6077	216.9091	830.01	2701940	2266374	2214302
F6078	216.9188	830.57	6630385	7108800	6920007
F6085	216.9284	857.04	1963061	2970360	2202561
F6087	216.9442	798.62	3822053	4185677	4307111
F6088	216.9605	810	881651	967224	1007931
F6150	217.0074	677.35	2703230	2055769	2334383
F6167	217.0172	252.69	512607	566616	510377
F6178	217.0297	717.79	9981318	10109576	10861353
F6183	217.0352	460.03	1495617	1499938	1516003
F6197	217.042	253.82	381859	352659	399679
F6195	217.042	171.8	72223	95481	212418
F6202	217.0483	708.45	11505174	11964753	12416882
F6201	217.0483	681.99	5483299	5551653	5792429
F9670	217.0714	175.81	5197466	4727346	5081842
F6214	217.0828	815.68	34028658	33316192	34010406
F6211	217.0828	614.46	462754	412602	493302
F6212	217.0828	652.78	297595	260891	302766
F6213	217.0828	656.9	190942	142271	172881
F6217	217.096	678.51	365202	307533	303630
F6218	217.0981	178.1	144155	109791	144509
F6224	217.1024	679.09	2973295	2958284	3082329
F6225	217.1024	740.1	209601	181699	233442
F6238	217.1045	583.89	927035	1012046	1226056
F6260	217.1192	865.78	5031255	4955454	5068540
F6258	217.1192	533.23	4898244	4920233	4992934
F6259	217.1192	556.22	2205666	2066142	2264101
F6271	217.1442	163.88	16655611	19155909	17479322
F6272	217.1442	249.88	10674033	11163798	10454295
F6279	217.9446	799.2	390683	333196	380218
F6282	217.976	781.81	10126395	10506848	10640584
F6385	218.0331	449.56	2532815	2578008	2660862
F6386	218.0331	716.04	483539	435688	442058
F6398	218.0517	707.87	573439	578684	643430
F6397	218.0517	683.74	179659	154096	174974
F10375	218.0667	794.51	0	214855	264481
F6438	218.0781	773.81	309919	328617	305914
F6440	218.0862	815.68	2550282	2512141	2762974
F6452	218.1031	484.05	3794985	3850168	3804144
F6454	218.1031	678.51	248391	266690	241876
F6453	218.1031	556.22	136276	144887	163692
F6451	218.1031	162.75	22512	141588	35864
F6477	218.1226	866.95	389800	351227	402500
F6475	218.1226	532.64	380761	343004	392228
F6483	218.1476	163.31	1515067	1660691	1719246
F6485	218.1476	249.88	802605	802144	828090
F6484	218.1476	228.47	13574	16941	5885
F6487	218.8772	830.57	976778	1022530	801383
F6530	218.9496	530.87	573715	540842	533682
F6555	218.9631	531.46	4095847	4569854	4451261
F6575	218.976	286.32	3723122	3993491	3855489
F6574	218.976	205.21	3372718	3601965	3489182
F6577	218.976	781.81	1052983	1156999	1009399
F6590	218.9859	132.05	105836	155436	145415
F6622	219.0134	460.03	367184	345294	384335
F6629	219.0367	449.56	132235	178592	190192
F6634	219.041	449.56	3371667	3718630	3392987
F6633	219.041	424.61	569588	533576	551775
F6637	219.0454	709.03	3367983	3588012	3529098
F6636	219.0454	683.74	1143757	1266448	1219277
F6635	219.0454	674.45	470917	544741	532710
F6639	219.0621	817.39	2391416	2286815	2346097
F6668	219.0985	678.51	3330315	3352038	3570222
F6681	219.1056	176.38	380972	381679	416992
F6682	219.1096	1007.02	529537	438020	477531
F6686	219.1235	252.13	21205660	21086971	21439268
F6687	219.1387	155.98	855625	1068383	821182
F6800	220.0081	460.03	1294313	1086340	1050270
F6801	220.0081	685.5	449401	527125	514031
F6806	220.0251	424.04	4827082	4786321	4980831
F6831	220.0487	144.18	366945	263551	157909
F6832	220.0487	707.87	124890	172389	117038
F6833	220.0574	549.75	474672	429725	447788
F6839	220.0649	390.9	1154584	996936	1181594
F6840	220.0649	397.91	772093	819346	687127
F6837	220.0649	361.07	353646	271012	338580
F6858	220.0977	253.82	974648	1270247	1117023
F6857	220.0977	176.38	292910	330653	378788
F6864	220.1785	155.98	766560	179358	362980
F6868	220.887	857.63	2381493	2055975	2156080
F6867	220.887	839.09	1933541	1603892	1714624
F6866	220.887	826.61	394606	417567	415641
F6874	220.9133	750.74	2275108	2281859	2237107
F6873	220.9133	694.33	550810	457141	478009
F6882	220.9444	839.09	90732	137796	141615
F6891	220.9707	427.47	3480368	3281122	3419017
F6889	220.9707	367.51	1230396	1062136	1145710
F6897	221.0041	798.04	409662	399257	367304
F6944	221.0283	424.61	134839	129819	117850
F6948	221.0413	680.25	417943	468171	455846
F6972	221.06	850.1	192239621	190240858	192659720
F2790	221.0817	155.41	4319784	4583451	4633411
F2799	221.093	504.16	1305273	1385180	1250907
F2798	221.093	448.98	400853	417710	449824
F2805	221.1031	254.95	69314	54702	155183
F10382	221.1213	139.6	0	47866	0
F2819	221.1545	157.11	5166733	6881271	5563559
F2826	222.0155	465.28	276217	351477	322709
F2870	222.0363	781.81	4965884	4951809	4935767
F2869	222.0363	633.94	1016351	1028031	1037147
F2873	222.0441	527.92	3757315	3952352	3961899
F2874	222.0441	811.13	1342007	1255786	1263684
F2884	222.0571	851.25	593152	723275	694314
F2887	222.063	850.1	12291062	12289273	12842813
F2907	222.0769	447.22	9641107	9847256	9844830
F2928	222.1132	498.82	94006	102221	101627
F2927	222.1132	180.96	15768	18620	7583
F2937	222.8973	134.38	200598	247939	215613
F2942	222.9145	595.03	2057187	2064560	1987348
F2987	223.028	159.93	134401987	59866730	71531246
F2986	223.028	150.9	131427837	18405423	70304491
F2991	223.0359	434.96	1216705	1235853	1291624
F3005	223.0559	850.1	6665840	6670451	6924743
F3004	223.0559	649.25	0	1225234	0
F3003	223.0559	611.51	0	996784	0
F3011	223.0571	648.08	1775865	0	1506383
F3010	223.0571	609.74	1451191	0	1248707
F3008	223.0571	572.7	437248	0	435361
F3032	223.0642	850.1	1088683	1118795	1151816
F3029	223.0642	133.21	475509	460082	480647
F3037	223.0763	156.54	414490	415424	428548
F3039	223.0804	447.81	784611	804404	779432
F3042	223.0826	782.94	256375	229888	142146
F3043	223.0836	679.09	294280	343839	292054
F3054	223.0974	176.95	518900	575745	617210
F3058	223.1009	125.12	228754	209732	202839
F3074	223.1337	161.06	12232086	4929607	7316520
F3100	223.9966	134.96	286428	298114	304822
F3107	224.0231	868.11	1312402	1432036	1303383
F3109	224.0277	160.5	17584716	7684085	8665636
F3108	224.0277	152.03	18765266	2125622	9715242
F3111	224.0313	160.5	5554063	2295920	2596284
F3110	224.0313	151.47	6071541	517625	2892672
F3113	224.0562	690.79	181471	113772	130369
F3134	224.1371	161.62	911657	114232	372307
F3138	224.1654	159.37	1459963	1513544	1508501
F3139	224.1654	241.86	516538	384576	500671
F3158	225.0074	252.69	9137308	1762080	5340790
F3159	225.0153	672.13	1307021	1587144	1337050
F9682	225.0249	159.93	11366235	4992063	5936767
F9681	225.0249	150.9	11046194	1175192	5847529
F3162	225.0404	744.23	442957	514422	517272
F3177	225.0618	170.1	73488277	53085942	42733904
F3179	225.0645	524.36	451338	460159	482880
F3194	225.0766	167.27	742798	654589	715153
F3199	225.0799	140.76	222137	194543	245601
F3204	225.0895	253.26	5275187	5478666	5391655
