id_number	mz	rtime	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F4387	401.268	146.83	120587551	125219434	125580692	117917784	121616105	113665943
F8756	586.3375	144.07	30271894	31164688	30235349	31300182	31246276	28173625
F853	209.0732	698.92	0	0	0	631145265	586408669	623591610
F10264	549.4162	151.18	33232601	36207523	34417474	37523493	37446596	36741045
F5993	498.3638	156.73	147023864	146898763	152249024	152340329	159953688	158692741
F9324	652.2872	659.46	0	0	0	62711623	64653216	64984987
F9600	596.3272	149.44	129332478	147795735	151830927	147093795	154113491	155709111
F6491	461.2789	239.78	27301630	30225638	35205350	29055529	31628660	35862852
F265	265.134	802.36	0	0	0	35156094	37808814	40393052
F11004	617.4657	158.76	121834636	125768301	127252555	142937678	141385179	139175262
F10639	610.4766	152.07	15843515	18995395	17157641	14238440	17197539	21095223
F7806	475.3819	146.83	0	30749717	32456735	27151089	16314463	19948809
F12058	494.3245	411.94	57576112	57956913	59367732	0	0	0
F12368	296.066	779.98	173382425	6076552	64234219	0	0	0
F9712	659.5195	148.57	50311150	49532776	50632462	365830993	372545851	351072246
F7004	426.3944	140.93	18030159	20424337	19965757	17339758	19439496	17650261
F9660	597.3302	149.44	37898705	41076595	41480895	41545802	43725772	41221892
F9413	776.2316	138.82	11516204	19694106	24043887	15807163	21220012	25673612
F11387	623.3095	146.83	67393040	66564517	64434371	68961700	65635511	62069223
F6348	459.3676	145.95	23799122	24540213	21688418	18116861	21784126	16139576
F12057	494.3245	171.5	41233829	40566581	40882541	0	0	0
F7943	520.3949	152.07	28175287	28560348	28387365	32707873	31807438	29480863
F3604	183.1153	720.9	1345	0	0	57798580	57589303	57446119
F10706	556.1726	140.93	5488600	8247777	11485896	10912698	13147447	14828600
F497	269.1358	426.07	102129345	105929668	112860032	36510275	38241331	39160823
F5634	367.2688	166.85	216923239	214863917	219553143	240472594	226661874	234869743
F9871	600.3228	172.51	91581371	107554842	122221121	92923262	106358754	122679234
F500	203.0533	684.54	571057583	593261808	590685531	2197993	2269011	2587673
F9986	601.4472	132.51	29665883	30762952	29343873	31723191	32578099	30895938
F7587	472.3633	147.7	34305158	34314968	34781714	31496435	31850100	30713081
F8921	534.4003	150.31	32124833	34611506	33899033	33279121	33798116	32296971
F7381	383.2831	160.81	56212691	57898922	59652300	60985723	57960909	57436032
F7956	520.8968	152.96	16793850	15957605	16807079	16422855	17249815	16852358
F10389	674.5032	157.74	254952172	264254564	262133752	277600509	284377775	282656450
F10279	549.9182	151.18	16481643	20810712	18294824	23073285	20344231	20429055
F8358	578.4254	152.96	28575116	30516244	27958351	30812534	32146487	30120308
F11690	629.1949	139.87	12805517	0	16351726	0	24450454	29177353
F10161	604.3482	145.95	51065983	51950383	52641916	52761004	53757023	48767977
F10618	680.4788	139.87	32638388	31009372	34745389	28918665	34741417	31809064
F9291	763.4136	168.67	21585290	21233801	21947181	25521842	24895951	25186960
F1449	282.2706	154.79	21543313	21779251	23162738	11781713	11936469	11581491
F8571	530.281	171.5	34154534	32427747	32879740	36557016	34261042	33730419
F9585	657.504	148.57	2536482	4362868	3106013	31266052	34110102	27940685
F8019	524.2701	150.31	123804916	122692348	125775121	134523942	133636837	123348327
F5458	490.3739	148.57	25405097	26576981	25293947	25420384	26296136	24387077
F3800	352.3208	147.7	6341947	6108008	6160303	66415141	66360081	62295116
F3491	181.139	1010.54	0	0	0	2105935621	2121713113	2096262542
F9649	596.4722	150.31	25782193	21790818	26847050	26484978	19844419	27864097
F5629	414.306	163.9	38383940	37698711	38661149	41595480	39843605	40096203
F3535	344.2948	140.93	15377798	15136931	15552690	17661854	17959342	16647932
F1734	286.1198	709.96	0	0	0	81887551	84020108	88591016
F9907	663.4534	139.87	50696768	51989980	52848824	45155475	48438672	45345434
F6661	462.353	153.86	16323277	19110924	18920292	15784978	19441768	18668481
F11575	610.3242	150.31	55073770	64199282	67883513	74337126	72512826	75305751
F9322	592.4776	147.7	17058009	19390207	21440499	20037454	22983023	21370900
F11360	622.4517	153.86	23555650	19943072	21325805	31545656	27177878	28476178
F10192	548.4432	413.02	0	0	0	24961504	24400559	25740808
F10894	615.4503	154.79	16385441	17813863	17686283	19878403	19312800	17162444
F10218	907.6745	153.86	13313970	14646044	12962352	16294191	18551086	18743543
F8947	588.4313	158.76	23571005	23451431	23754820	27964074	26172886	26003569
F10624	307.2116	162.88	22254778	22335506	21775755	24557786	22401665	22116410
F9075	590.3689	144.07	31273653	30659752	31471843	32601003	32369071	31461671
F12164	280.0921	779.98	61299922	78685920	92782703	0	0	0
F12369	296.066	793.12	1690823	123796872	19867376	0	0	0
F2895	174.8865	818.78	7116	675740	3895	18424352	25572112	36836671
