id_number	mz	rtime	posi-Yeast-12C14N-a	posi-Yeast-12C14N-b	posi-Yeast-12C14N-c	posi-Yeast-13C14N-a	posi-Yeast-13C14N-b	posi-Yeast-13C14N-c
F5878	455.2781	145.95	6943161	6016585	4804019	6769321	6121651	6121096
F8885	588.3123	165.91	5321415	5649737	6649841	6658234	6738084	6855784
F3557	345.1669	161.85	11917219	8706204	8829339	8965152	6772426	8443484
F6146	419.1845	681.3	24011	27114	0	16696773	17399732	19277597
F10789	331.2671	148.57	4710170	5477931	5844548	10682378	11335091	9869868
F10223	669.4983	155.75	3797715	3835524	4852053	2689281	4774897	4502174
F4793	483.3469	144.07	8704400	5821649	8860888	8321571	7909352	7813626
F10939	560.3217	145.04	12249148	10246959	11383705	9918176	11495732	9821772
F10908	559.3897	164.92	4288367	0	4777674	4614347	5360699	5557221
F11805	715.4378	155.75	4243362	2238214	2206655	3794236	3431030	3204744
F6565	373.3058	158.76	11485883	11564862	12987765	6152833	5803200	6644379
F4289	440.2852	166.85	23525242	23234584	23776323	26145822	25834260	25094916
F4714	444.317	171.5	8630042	9021752	8928138	10524879	10225788	9986313
F12027	733.5494	156.73	68629016	67729705	67663009	71946669	74641609	74820564
F1284	323.1774	150.31	8592142	8071955	5544528	6300924	11476932	9484139
F2883	339.1842	164.92	29555066	30313485	32277711	31902818	33726783	33977895
F10787	684.523	154.79	0	0	0	8019028	7916160	8241658
F12605	217.1301	770.91	17093748	558943	16111500	0	0	0
F10509	608.3797	145.04	9432131	7708058	11189083	10344440	10508796	10533853
F5547	366.2483	150.31	119421873	122254503	123265284	128448528	126020355	124842193
F6299	502.3228	171.5	6862231	6556254	6977812	7301998	7068336	7444141
F9937	850.6348	155.75	6242136	6029527	0	8179427	0	5675067
F8124	525.3941	140.93	4958608	7423695	6758873	7957844	7805916	7611296
F7461	470.3975	156.73	0	5275241	5288198	5372254	6140923	5901834
F8740	532.4002	140.93	6472113	7508554	6748899	6160348	8207317	6901730
F10775	613.3255	152.07	6624663	6151566	7817289	6898598	7293763	6593567
F10826	614.3374	165.91	5469160	6128382	6017305	6759524	6860053	6958772
F8071	389.2508	165.91	38392175	39406673	39841428	43687430	42144176	41309913
F3574	307.2633	147.7	18269258	18946986	18391187	18064511	18445726	16641003
F5320	450.2333	155.75	34737106	35718606	36098840	36390510	35122103	34557454
F2332	333.2827	160.81	4443655	4414769	3983723	1285008	1455201	1108522
F4578	403.2474	148.57	9958141	9646983	10822961	8910857	8894347	9628294
F10475	552.4113	155.75	8530880	8114822	8316480	10136553	10810957	10672468
F7643	517.3913	141.99	6052014	6724156	1169822	6880523	6676102	8704394
F9049	644.525	151.18	3202168	6407946	5205534	6690650	0	2616632
F1294	280.2635	154.79	1942508505	1990301070	2019096466	938223186	920033057	926636005
F7003	426.3582	141.99	4687946	5434058	4703249	4379281	3531478	4150966
F10265	924.2702	138.82	2493578	4401607	4912070	2312454	4831721	5656435
F10504	608.3683	126.22	4262798	4219925	4317268	4086196	4469642	4314460
F8327	390.7244	167.76	3518309	3229095	2377876	3678730	3689696	2993284
F13671	391.1018	685.62	67097004	86439850	90087946	0	0	0
F1996	289.0393	841	0	0	0	17804096	18059838	17013469
F6105	457.32	161.85	5406720	5602391	5689657	5799380	5363970	5441609
F1428	324.2894	147.7	11190742	9367751	8284085	7358552	4723959	6775230
F8268	632.3427	146.83	10138816	10587949	8909759	8637006	7906906	9394601
F11532	569.3116	145.04	0	1885672	0	2889548	3715131	3269169
F13101	628.2742	646.35	11721752	12259126	12184695	0	0	0
F6570	422.311	153.86	5290169	5548147	6301096	6157399	5956460	6376684
F6019	456.3688	141.99	4626453	5811542	5430813	5036934	4672126	4926597
F10765	613.3163	167.76	2999291	3398991	4121139	3512886	3115770	4052884
F9203	648.4632	154.79	0	0	23633609	0	0	0
F5639	414.3217	141.99	10871248	10992850	10074871	10655872	11268662	9875734
F8038	389.1122	143.05	11273993	15737643	19681081	24009146	27789501	29536357
F1516	325.2373	146.83	3789646	4517509	5440151	4911145	4959203	4232827
F4127	355.2882	167.76	3301666	3117418	3168853	3197534	3343706	3013528
F5982	456.3167	168.67	30964149	30165308	31387251	35304872	35065676	34642959
F5445	490.3538	145.95	8529191	7649024	7757379	8538014	8386833	8662165
F6480	504.2957	145.04	8859417	9091019	8668781	7597776	8825533	9136486
F1768	225.1569	790.96	0	0	0	4745355	4767834	4913594
F4739	405.2246	165.91	43317464	40245605	35166089	43150616	35020282	34986827
F3762	352.2115	147.7	5218689	6424456	6280080	5228206	5167002	5407030
F11224	564.3801	161.85	1262751	3114564	2858112	1572145	2761155	2186096
F3081	341.0994	151.18	108877440	91838909	84390024	123842568	90740963	64740352
F7336	469.331	145.04	6207191	6524884	6798984	5825243	5292751	6273614
F2163	331.2952	153.86	3522473	6699231	4523899	1447861	1334577	1706096
F4314	440.3374	141.99	4991520	4730351	4946512	4630237	4959062	4578017
F2834	338.2172	154.79	146761103	150325851	147308626	159568534	158648109	158278621
F8844	737.5013	156.73	5094947	5273523	5341656	4510822	4708267	5109685
F9770	543.3929	152.07	12129354	17822614	17965548	17114055	19497868	19377149
F3202	249.1699	164.92	44861678	44531071	45693491	50408415	47500689	45760801
F8762	639.4941	154.79	20629959	21156175	19691767	3526630	5415551	5431196
F13547	730.5375	171.5	20300751	20707967	20486472	0	0	0
F10423	606.4373	145.95	8560505	8005806	8448261	9176907	8996915	8297522
F7148	428.3737	140.93	4073401	4273675	3653202	4100138	4429077	4025052
F11573	569.7509	515.55	0	0	0	12486760	11859646	12117421
F5692	415.2667	146.83	2892371	2691268	2110243	2393504	3082138	2486628
F7804	434.2902	149.44	9735884	9619207	10866718	8811461	9504606	8882366
F9859	837.3497	152.96	12176453	5965759	5989274	7761607	4488580	3737642
F6224	458.2961	170.53	11798929	11685443	11476241	11640092	12198233	11591606
F5494	414.1242	148.57	5098605	3012761	2917338	4976256	2922552	3786472
F5193	410.2745	161.85	58690292	59226565	59355682	64695782	62260132	61522320
F1245	279.2164	157.74	1665392	2092096	1634008	2012859	2259411	2042280
F4738	482.4572	139.87	6252613	6044589	4969573	3781426	4069694	4130369
F13761	878.639	152.96	5302980	4655102	3707038	6643199	0	0
F5079	447.2736	146.83	7444569	9185445	9401875	7124338	0	5498646
F2711	172.0927	448.8	0	0	0	6464461	6553535	6743954
F4690	444.2592	147.7	7602781	9246347	8325517	8848251	8012101	9167185
F8457	528.4406	139.87	3528274	4027169	3827739	4315874	4217950	4116592
F12606	217.1301	776.92	284921	16901300	2852077	0	0	0
F4369	401.2319	150.31	11867706	14530953	13506553	13548460	14579517	13324471
F8733	532.3692	171.5	3796017	2515698	3691875	4411649	4336574	4389013
F9618	541.3504	145.95	12274959	7357407	9471794	9544153	7249427	8016032
F1811	226.0751	661.56	539828	2929829	977951	8094734	7948466	7625013
F10966	560.3639	171.5	3183155	2859060	3156497	3725832	3773771	3950673
F6408	460.2756	174.58	48328988	54582453	53777223	64705057	58074380	65017400
F10317	550.3959	155.75	7650961	7048765	8252252	10200822	8611427	8724331
F1744	286.1517	146.83	3299954	4305943	5132067	4049649	3627670	4007917
F9311	592.4212	145.95	5106046	6281283	5366539	5357891	5612536	4627161
F5288	411.3006	113.48	3587186	3251205	3676802	4054519	3819289	4204447
F9791	598.4523	160.81	8502127	8059609	8253572	8586513	8450821	8592038
F11404	623.4985	156.73	9640258	14129283	14960620	2884116	3566764	3703685
F6832	508.3841	152.96	6527395	7201098	6570064	8317255	8015921	7407774
F13666	805.3459	665.92	24711639	25151723	29632969	0	0	0
F9739	598.3332	150.31	7081817	8411973	6466717	5028088	7473142	7722211
F2764	337.274	143.05	3584558	3750940	3787719	3382346	3627367	3818322
F8340	527.41	140.93	9029355	8786131	9556607	9089322	7271689	9547848
F1528	325.2488	237.83	10651417	11360797	12067268	35096860	34327443	36444548
F5420	365.2528	159.79	3591118	3478845	3811042	3886724	3840174	3518516
F10010	546.4524	140.93	6483476	6782152	6233913	5784641	7561557	7096249
F4851	445.2582	148.57	7996182	8243251	7130324	7093321	7765077	5492105
F8089	389.2685	146.83	2625707	3822416	4294790	2473610	2937387	2784272
F1100	320.3657	248.68	0	0	0	11649232	11799101	12312960
F8846	642.2428	661.56	0	0	0	8199480	9566765	9042672
F10291	672.3432	172.51	3615141	4561353	5349839	3775025	4161313	4720972
F4788	406.2069	150.31	10843941	11780924	10478729	11339162	11791995	11181742
F13829	166.0727	447.66	11797713	13137135	12736710	0	0	0
F4983	446.2902	146.83	5287826	5631991	5815041	6297859	5219322	4874981
F8204	576.3164	146.83	8585065	10247130	8538128	10124998	9866116	10023487
F7981	436.3056	148.57	6455801	6482748	8383831	7848952	5918383	7613799
F10143	668.3118	167.76	3707272	3828172	3993999	3581021	3518216	3441448
F10835	558.3426	143.05	5432905	7558220	7019823	8059440	7242376	5119370
F8828	736.5194	158.76	2443174	2191034	2922590	4704571	4628835	5143666
F7457	516.3379	171.5	6283667	6640530	6567390	7781584	7315008	7686765
F9366	593.4418	152.07	5481191	6542423	7049806	4399259	3807066	6124087
F9790	598.4523	148.57	10265159	10714572	9569867	13039676	11151997	12434718
F8370	578.4613	147.7	9897177	7083894	12002117	9921674	10350633	10050344
F9861	600.3167	145.95	7693736	7572757	7753879	7329346	6004264	6143587
F7298	514.3887	158.76	3571429	4734612	4226446	4469608	3398032	3239704
F10303	550.3261	127.33	4456848	4957873	4708941	4673250	5340345	4916354
F5536	491.374	152.96	34381184	32981306	35144914	36012707	36790094	34975979
F5307	449.3736	161.85	4633540	4735255	4662773	4953729	4717774	4624278
F9319	767.3635	168.67	3717241	791963	5587539	4925549	5316313	5681448
F6395	372.2534	238.79	4629139	42459	5068879	4899407	4936254	5142442
F9145	646.5023	130.38	21000826	23551699	22366444	22233742	22610564	23104460
F13652	801.3315	516.63	12308056	12379992	12469731	0	0	0
F4214	439.3089	154.79	8060384	8164986	7215094	7761921	8481535	8838368
F1662	326.3053	148.57	5977213	5987935	6506120	4298110	3051686	4510848
F8744	532.4208	146.83	5484462	5184103	4966524	4536442	4599297	4002460
F10912	616.3109	146.83	8540049	5544236	5579045	5971276	6150561	6026879
F447	268.1638	168.67	3619481	3607389	3191242	3301324	3545926	3934268
F3951	397.1464	147.7	11442967	11836575	12657084	14262601	13130671	13464961
F266	311.2411	157.74	18515373	18447339	19251526	8485796	7428859	8258513
F3146	248.0219	807.69	1389	16945790	157963	0	0	0
F5302	411.3624	143.05	3956105	4435224	4664520	3759506	3720438	3895931
F9464	594.4007	141.99	5385158	6088086	4793959	5830107	5197156	5579657
F4167	355.3207	145.95	3160152	3363242	2816077	2929852	3145845	3269348
F7887	476.3376	146.83	3857598	6084986	5863960	4671416	6168999	5172598
F1617	326.2002	523.11	9696027	5873415	9897045	8631053	8436576	6580859
F3516	255.1378	419.6	34072052	37205199	43295175	12367408	12987752	14324511
F847	317.3466	158.76	0	0	0	8180800	8339903	7604611
F6122	457.3673	146.83	7460313	6364859	8708784	5074026	6513371	7590509
F10380	606.3272	146.83	9191872	9480355	9826119	8748039	9586210	8892402
F7462	470.4207	140.93	4352533	4908735	5142562	4384072	4687419	4043026
F3647	345.2982	140.93	3237205	3254917	3314143	3023384	4086337	3578025
F12013	732.5459	156.73	175999084	181018468	182248274	186940832	192030104	191172499
F9275	592.3474	145.95	10639347	10937883	8815586	8664852	10461036	9804768
F10135	548.3215	150.31	13310325	9704633	12730417	12886663	12076241	12802321
F13541	730.5248	140.93	5817810	6712874	5623076	0	6643812	0
F8081	524.5043	138.82	5791492	5521197	4792462	4450723	4287081	3946944
F11066	562.301	146.83	8817781	7629918	9004709	8972355	8889962	8446940
F4985	486.244	663.71	0	0	0	13192040	13565225	12805958
F1878	329.0973	712.19	0	0	0	15505795	16883282	17601772
F1176	147.0765	774.92	285732296	293265707	284023059	0	3168998	3358371
F3188	341.3052	140.93	3209331	3322471	2129271	3232043	3121277	3190742
F8414	579.4385	150.31	6224354	7252208	6238578	5675366	7201365	6716106
F12959	612.2431	659.46	11216293	13120009	14654024	0	0	0
F8917	643.2357	146.83	6763640	3417818	4773657	5193617	4332675	4457336
F10362	674.2684	659.46	0	0	0	6256189	6402107	6482503
F4790	483.3352	148.57	4633981	4941078	5677980	4973768	5703358	4182505
F6894	377.2367	149.44	296620	0	0	8276002	0	7457488
F7660	433.258	150.31	7800158	7702145	8030175	8760601	7668125	8470872
F8639	638.39	144.07	8360716	8022532	7656917	9618593	0	9113833
F5887	455.3154	145.04	5672659	5579924	6002125	4009094	5596177	5024654
F11158	695.3304	146.83	3891308	0	4138803	3817568	3044791	3351006
F7520	471.3725	164.92	4433933	5176081	5258383	5705687	5446767	6167865
F3799	395.2209	147.7	10901299	11499700	11547451	10472603	10863889	10669515
F1490	153.1103	148.57	1964135	2584885	2789358	9069725	9534942	9187134
F8415	528.3378	170.53	18948786	18871557	18568277	24142096	23641009	23688841
F8633	638.353	146.83	8401804	9072232	8496573	9744700	9503079	9398832
F10328	605.4607	129.37	5808383	5575221	4947909	5574782	6582380	6413067
F9372	770.6708	171.5	0	0	0	12870459	12900012	12836190
F9373	770.6708	246.68	0	0	0	11979643	12192965	12869362
F6445	460.3999	145.04	3196744	2873350	3341233	3224299	3261655	2651838
F9654	542.2811	164.92	5279710	5318444	5438342	5226145	5418221	5865716
F10476	552.4269	140.93	9327463	9418456	10173691	9442880	10289600	10445732
F4325	440.3737	140.93	5013449	4018897	4002589	4314291	4109821	3756404
F5647	367.3207	145.04	3621724	3498748	3990290	2991502	2816071	3410071
F7259	468.3688	140.93	4450328	5150436	5373212	4572833	4886033	3989433
F5733	494.3478	148.57	7197832	7244427	6489396	5675711	5248976	6335124
F13127	630.192	140.93	4943645	10816349	0	8433102	0	0
F11803	572.3999	238.79	4317988	4137932	4736356	5306962	4918728	5502674
F2593	296.2583	152.07	1808107195	1925834710	1535041612	503156777	824846478	520417317
F4493	442.3267	157.74	0	3945016	0	1266910	4440862	951236
F4284	478.3895	141.99	4435514	4502041	4360190	4432737	4753798	4032516
F565	270.1937	145.95	0	3450458	0	3247397	3154456	3768921
F7890	520.2908	146.83	4864089	5096901	5789288	5110665	5619116	4196148
F10205	548.468	140.93	3351608	3602195	3709098	4169170	2440705	3604241
F1137	277.2361	161.85	9170648	9506558	10836551	4238884	3607008	3589889
F5685	453.2628	147.7	5417790	3804553	5740478	5135929	4906255	4125511
F4162	438.3581	140.93	4543340	4353943	4020692	4048424	2566184	3714347
F5848	496.4003	140.93	4441085	5178708	4616910	4966566	5393496	4283011
F10501	608.3431	146.83	6423523	7633299	8369909	9067517	8883362	8252785
F3974	190.0919	660.5	0	0	0	4196003	4474936	4282965
F11275	621.3449	147.7	5193840	5838949	4521510	3607682	5310655	4423124
F5562	366.2847	152.96	11111503	11196819	13214857	12567120	13092416	12944056
F10276	671.4125	153.86	11056431	5253467	6735597	7232679	6401078	5312327
F11415	624.3222	168.67	7662531	7685624	7680884	6974233	7489036	6283293
F2068	289.3244	257.76	0	0	0	7171815	7564389	7668805
F10478	676.5107	157.74	16149618	17885326	13909136	20418334	20132274	20597730
F10486	552.5357	138.82	7407845	8267547	7824917	6812991	6420031	5374348
F9211	537.4193	149.44	4399462	6768646	6052080	5036750	6749093	4739386
F5473	413.3254	145.95	2525408	2781257	3319100	2769225	2634916	3024460
F5799	496.2752	154.79	26249689	25313821	26374394	27638612	26208864	26904207
F7370	383.2692	114.52	5902810	5495882	6285319	5754616	5465254	6212983
F7183	429.2268	152.07	8006198	8575406	9330605	7000904	7604920	7251905
F11230	564.3897	152.07	14406516	13816729	14218696	15273457	15005692	16322472
F8656	638.4462	159.79	7031363	6769423	6631553	8829263	8943609	8981483
F2345	233.2266	152.96	8041045	7381206	8049918	2312917	2594973	2143251
F5194	488.3005	148.57	6400842	8104243	5768310	5849438	5992538	5563816
F7507	384.3112	143.05	6839270	6163977	6349540	6484295	6820837	6086308
F7191	513.3578	143.05	7745530	6725228	7207792	6878573	6452140	7123031
F9517	655.4889	161.85	9488108	9761334	8682404	2140788	2247614	1944350
F1557	284.1898	115.58	2320632	2128279	2621199	2745387	2804804	2666212
F9453	594.3646	145.04	5753450	4474899	5852731	4929068	5752237	5543054
F11475	517.4029	172.51	0	0	0	4997412	5675095	6872368
F12882	603.3429	468.47	12153991	12326691	11916906	0	0	0
F3152	248.0566	646.35	8056841	9898935	10972734	1127265	1160743	1141694
F5888	497.2783	155.75	2760716	4701305	3371392	3141199	5162576	4852301
F7756	518.3845	140.93	3365808	5655838	5562608	4635874	6053336	5905104
F2338	293.1472	274.08	0	0	0	19422000	19126651	20088971
F191	311.0212	842.03	0	0	0	8973290	9264850	8021962
F9000	746.523	157.74	5201095	5798767	5843019	5640413	6272998	5520159
F9957	546.3122	171.5	3764919	4398352	4646636	4440137	4790458	5244844
F11733	711.362	168.67	3192526	2692345	2710059	3409326	2262948	3088716
F12833	592.3849	143.05	0	9175289	9564164	10969494	0	0
F4145	399.2162	149.44	10888181	11359168	11947264	11676766	11037833	11708552
F10837	614.4092	149.44	1780695	4514138	2727948	3180575	2029649	2894411
F7248	381.3002	144.07	2366070	2990769	2826869	3099118	3063335	2936776
F382	133.0278	822.18	0	7596	0	4964902	4747164	3969618
F1034	276.2323	161.85	41263293	40823566	42570978	17877014	17122960	17606949
F4103	398.2747	162.88	19410480	19062636	19822832	20450943	21542997	20326796
F4862	484.3112	168.67	27788413	29743764	28394130	33500726	33455729	33958173
F10614	554.3894	159.79	4926993	5075852	4507105	5223756	4603290	5481011
F4251	400.2215	831.27	0	0	0	4404391	5389435	7489674
F4755	405.2632	148.57	5280308	4599050	4645112	5765143	4249448	4332964
F6704	506.3384	162.88	4601465	1605957	1052875	4161027	2496774	4376830
F10790	331.2671	168.67	7618897	7919519	7726345	2898920	2747976	2893672
F11490	530.4201	140.93	3909561	4233212	4688916	3964861	4094206	4433042
F5106	409.3783	157.74	851883	837757	952508	3702609	4073761	3740288
F10283	936.6825	152.96	2190826	2208041	3410241	3431957	2612940	1877208
F6718	506.4207	140.93	3643059	3158314	3279720	3413509	3668713	3363419
F5744	494.4052	147.7	4550203	4370848	4639961	3193650	3372569	3032768
F53	308.2665	146.83	2778456	2536973	1492967	2164500	2716833	1849075
F1509	283.2825	147.7	608916399	586684327	652085402	301757237	284357076	297871006
F4104	398.2747	170.53	32343840	31680794	31931498	36783109	36095481	35948253
F7247	429.6737	684.54	0	0	0	8108333	8524229	8132419
F7711	474.3276	172.51	5733655	5512476	5654435	6399012	6132151	6436335
F8223	576.3952	171.5	2284661	2362950	2267399	2411826	2649817	2635015
F6465	373.1488	162.88	3570286	3648935	3458473	2768814	2939144	2774239
F1930	329.1934	161.85	14036611	15003091	16645465	15439779	14532317	15350027
F12958	464.1308	140.93	0	0	4320993	0	5926177	0
F140	261.2214	152.96	34417272	35189564	34810208	13124995	15595208	14992564
F9870	600.3228	157.74	12645565	16077848	14189277	14564138	14910129	15820046
F4723	482.3844	141.99	6120757	5420708	6055143	5886411	5607481	5267851
F8635	584.3219	143.05	4274937	0	5405431	6718055	7894487	6340129
F10597	554.3686	145.04	3942454	3828850	3992736	4062411	3422931	4028515
F8160	522.4159	140.93	5699105	5799322	6160056	5959451	6006108	5910464
F324	266.16	168.67	414748118	412823254	421100976	441211669	430189952	440887558
F2752	337.2374	145.95	4449093	3998608	4787385	4508733	4221928	4167476
F4505	402.3213	145.95	5178001	5172046	5477245	4874234	5125181	4741822
F8518	582.2073	139.87	1562783	2613215	2774171	2433051	3363233	3814461
F6414	460.3056	146.83	5354036	4577273	5117209	3689207	4560000	5318190
F11274	565.3194	148.57	5462491	5401015	4354261	5980727	5437437	5038124
F8566	582.4564	152.96	3975329	2926418	4381390	3644734	3636409	3115228
F6653	462.3219	146.83	4401420	4965367	5361381	4940956	5415733	4625965
F13548	730.5375	248.68	19046739	476098	21828989	0	0	0
F5070	409.226	152.96	5048741	7076461	6033688	5599760	5713136	6380317
F4583	443.2426	148.57	6793094	4985376	6046039	6346094	6417614	5878810
F10321	550.42	151.18	6596888	4797820	1230034	3947871	6116035	5797372
F1942	227.1839	145.95	2065482	1610735	2195503	9333532	8868878	9325735
F10960	560.3582	141.99	4213152	4563340	4978771	4158960	4947023	4675119
F2262	232.1627	164.92	2538037	2701250	2439453	3084197	2941459	2855929
F8331	391.1084	144.07	1527725	2103984	2836736	2165575	2277702	4015213
F6006	418.1814	682.38	0	0	0	9389450	10451660	11466652
F8929	588.3951	167.76	5351516	5580851	5096135	6108626	5674851	5689872
F11429	624.3736	145.95	7286516	5537039	6046082	6091659	6256369	5572700
F9062	752.3684	163.9	5849872	5608745	5818229	5539205	5906004	5199164
F7822	519.2931	156.73	11145817	6918705	6627477	6241905	7135361	7232014
F1891	288.1419	507.92	4941642	5007969	5685799	6344276	6559426	7334861
F10900	615.4618	140.93	5513129	6592362	5430317	6264397	7147654	6342000
F3077	246.2297	155.75	5339346	5026311	5055704	1535638	1979603	1233017
F7959	521.2469	169.59	1743410	2576682	2270726	1376978	2261876	1583764
F1246	322.2223	157.74	63385864	61449880	63654898	65143819	65145798	64764599
F4937	485.3152	167.76	5228588	4546343	4848560	5804945	6021834	6014203
F5837	454.3895	140.93	3674919	4261799	3834190	3389749	3286785	3550617
F10844	558.3482	171.5	5457684	5545295	5465282	7765014	7463935	7141180
F1580	326.129	150.31	4432434	4264173	5043390	6194946	5477876	5620854
F5648	414.358	140.93	4216829	4187105	4067266	4423297	3908748	4295684
F9444	594.3271	149.44	5626503	6008495	7089795	7310259	7545019	7215393
F11521	704.2108	138.82	0	10802003	0	9288833	9454699	11924897
F5465	413.2935	158.76	6679726	5755042	6408365	6233018	5985725	6562529
F5941	417.2527	239.78	3645586	111018	4309879	3995965	4005512	4045824
F10932	616.3896	171.5	2484811	2597555	2741284	4177665	3905917	4124135
F2251	232.0617	422.84	85825045	92341341	96445268	39114764	39682329	41188109
F3912	189.1121	148.57	8880635	8065915	9407268	25738944	25691716	24679194
F6805	425.2214	173.54	3978774	4516344	4675889	5624264	5414651	6004187
F7257	468.3533	157.74	5392211	5157340	5360320	5848209	5218281	5846356
F2058	330.2065	145.95	21023981	20284271	21619716	20041620	21697093	18554977
F4535	442.3895	140.93	3063596	3420416	2922150	3076161	3034783	2549129
F5067	447.2705	164.92	0	0	0	6055771	6202810	5548818
F2927	175.1191	977.73	2616797905	2622128124	2670992131	36765600	40750819	41726239
F8496	636.3221	167.76	4293628	3805362	3870023	4178385	3845449	3686010
F5187	448.269	148.57	12963621	12567422	11149425	11159283	12209204	12060404
F9281	762.5556	154.79	12498985	11554320	11987033	13255461	13837392	12852785
F9804	831.3405	524.19	0	0	0	9296819	8908442	8812441
F9652	813.3728	681.3	0	0	0	10678791	11401605	13135514
F7894	387.2353	159.79	18130678	17159615	18556897	17201245	16432128	18527000
F5089	409.2901	155.75	2887432	2435558	0	2357360	2001962	1611057
F7720	474.3583	141.99	4594500	5312148	6113439	5797218	5818922	4912279
F2792	299.0796	143.05	1113762	1734037	2199869	2121166	2543168	3361819
F4592	443.2488	186.61	3743164	4150934	4722165	3376792	4073426	4339652
F6232	371.2217	145.95	17833415	16856376	18138431	18947635	17860956	16112175
F6748	507.3528	152.96	1808372	2708159	2226256	3076932	3191061	2805235
F7513	471.3468	144.07	7368926	6658586	7378329	6461378	6582940	4375845
F4546	442.7092	781.02	0	0	0	10273541	10458932	10736032
F6811	376.2328	148.57	18157614	18380187	18005413	60767210	63615248	58078293
F10027	867.3832	551.99	0	0	0	21325363	19758022	19394151
F457	268.1785	145.95	943693	2230709	2267041	1792196	1950106	1753984
F10145	604.3118	149.44	7627422	7595611	7339576	7263094	8975415	8023210
F7703	474.291	172.51	19599364	18796435	19360865	20801231	20129133	19825693
F5818	454.338	157.74	6281102	8320488	6357924	7183273	8416114	6749058
F7616	432.3837	141.99	2237100	1886780	2055939	2109055	2319002	2123713
F10047	602.4494	132.51	8790829	7809941	9763869	11115195	17342485	7099453
F4123	355.2844	141.99	4183635	3892369	2930824	2154803	3236358	3334097
F11103	619.3296	146.83	3330476	4695073	4226553	4935453	3852266	4008753
F11139	620.2608	635.98	0	0	0	46407919	42841920	38942878
F460	135.0804	148.57	125029642	129580391	128108928	376488204	370534279	368255645
F3921	396.311	141.99	3063323	3397149	3190052	3505723	3220415	3583528
F5741	494.3846	141.99	3588706	3348939	3709762	4194237	4457603	4347343
F2518	335.2945	143.05	2396728	2652612	2474854	3292269	3968003	3630364
F5819	368.264	155.75	93817541	94086914	94412051	97448345	97904024	94871124
F2672	298.0824	143.05	2125207	2459525	2907785	3450092	4451285	4902191
F8560	582.4002	153.86	4334477	4220577	3874358	4304697	5328347	3411521
F11034	618.3634	143.05	7547381	8446788	7584978	7434759	9027041	7522963
F7168	513.274	167.76	7379926	7331955	7214566	7617042	7721337	7008445
F5681	453.2524	153.86	3963104	3356540	2761576	3176795	3585654	3938185
F10520	677.5131	157.74	2855416	2797539	2505876	2913997	3080172	2036834
F1200	149.045	143.05	0	1683903	2322905	2853389	1959635	3361416
F11095	619.2575	661.56	0	0	0	7917040	8380222	8182203
F431	134.0634	800.38	0	0	0	16635140	16771276	17128788
F1167	212.084	420.68	8290902	8524996	8889583	2250375	2252011	2351164
F7888	436.0636	111.41	5237220	5437174	5325194	5491044	5596004	5520069
F8284	577.3932	141.99	2603609	3075177	2847264	2611807	2806402	2629438
F9108	646.4369	167.76	2782907	2500324	2485234	2589940	3018772	3077318
F6477	504.2816	143.05	2546083	2730454	2756225	3308743	2991492	3119776
F11170	695.4331	157.74	16280698	13149589	10067767	12985351	12740557	12607484
F218	263.237	153.86	140402535	149548280	148960951	71492583	67716467	68717908
F1460	282.2792	147.7	3168897517	3064997670	3391772363	1619922515	1542577131	1578024646
F2767	298.274	151.18	611188323	609850624	627350269	333584935	322181109	320322864
F5020	446.3996	143.05	3203440	2355264	2490329	2333072	3116545	2272858
F8722	585.3042	127.33	2160889	2470219	3038351	2566529	2526246	3006301
F12298	290.0756	685.62	29243213	28752218	25699944	0	0	0
F8313	527.2617	129.37	3052973	3502390	4119627	3432776	3705328	4156876
F6513	504.3688	145.95	6977181	6205472	6608459	6750587	6699986	8373569
F4211	399.3664	140.93	2755100	2985513	2591020	2561372	2590899	2721088
F8999	746.523	141.99	25496	6010600	13988	5159006	6649251	4397824
F11190	406.2279	166.85	6572246	5728862	5105424	6324384	4959995	4947209
F10733	612.4306	114.52	2717753	2779463	2577586	3512532	3642212	3365974
F10809	613.4462	141.99	6323111	5881697	5664702	5955484	6317812	5871079
F8851	587.3825	168.67	3875562	3144972	3999251	6456290	6440478	5232559
F10356	673.4996	163.9	7956663	8812981	7423410	0	0	683532
F6102	418.3105	435.02	838318	838231	895716	8537005	8649753	8857058
F5832	368.3159	145.95	2284664	2613814	2260481	6959435	6540818	6446852
F6709	506.3683	154.79	6517027	6627796	6105239	9681473	8615681	7181874
F9243	650.3379	146.83	2491932	1914481	2595303	2413510	3119473	2139998
F7502	431.2425	149.44	11207825	10504305	10120144	10851244	9860789	10196496
F7900	520.3266	146.83	2092331	2299529	2619749	2992955	2453240	2741400
F11240	699.3608	156.73	3284236	1674568	3332632	4917975	5633330	4235948
F8090	574.3793	171.5	4008307	0	4431763	0	4851485	4678337
F11589	627.3322	164.92	3523082	3802826	4087709	3828129	4850590	5017759
F10331	962.3893	522.04	0	0	0	9264331	8842577	8570532
F7450	470.3843	140.93	3764094	4855778	5042028	3622157	4373669	4347492
F1982	288.2534	165.91	47401782	47981159	47723934	50468065	45342845	44021850
F8194	523.3606	171.5	6146329	5836949	6145158	149117	43212	6482
F9637	596.4365	157.74	8451272	8314669	7540467	13433457	10628030	12124780
F9249	650.353	145.95	5256405	7556512	7312906	7624398	6132337	6107726
F4946	485.3509	152.96	21493574	21880825	22463548	19362515	24232029	24031666
